OBJID,RA,DEC,XSIZE,YSIZE
AT 2020nqq,201.435208,-43.003561,10,10
NSN2,212.5976,-43.3121,10,10
NSN5,259.9303,-77.3585,10,10
SN 1986G,201.40212,-43.03172,10,10
SN 1987A,83.86662,-69.26986,10,10
SN 1990K,8.55858,-27.79631,10,10
SN 1999ga,114.06958,-69.55606,10,10
SN 2001fz,101.209417,-27.620194,10,10
SN 2011ja,196.296333,-49.524167,10,10
SN 2013aa,218.14117,-44.224389,10,10
SN 2015F,114.0657,-69.5064,10,10
SN 2016adj,201.350458,-43.015972,10,10
SN 2016jbu,114.1082,-69.5487,10,10
SN 2017cbv,218.143417,-44.134094,10,10
SN 2017cyy,144.15125,-63.948522,10,10
SN 2017izl,199.980583,-47.284661,10,10
SN 2018ec,156.961542,-43.90175,10,10
SN 2019esa,118.753704,-76.411975,10,10
SN 2019xis,84.0570833333,-69.2735277778,10,10
SN 2021afuq,156.966642,-43.901861,10,10
SN 2021aks,164.7201875,-49.9638,10,10
SN 2021tkm,217.923299,-43.414322,10,10
SN 2023hym,213.396583,-45.429111,10,10
